iter	Passed	Remaining
820	1175	256
821	1177	254
822	1178	253
823	1179	251
824	1180	250
825	1181	248
826	1183	247
827	1183	245
828	1185	244
829	1186	243
830	1189	241
831	1191	240
832	1192	239
833	1193	237
834	1195	236
835	1196	234
836	1198	233
837	1198	231
838	1200	230
839	1201	228
840	1203	227
841	1204	226
842	1206	224
843	1207	223
844	1209	221
845	1210	220
846	1212	219
847	1213	217
848	1215	216
849	1216	214
850	1218	213
851	1220	212
852	1222	210
853	1223	209
854	1224	207
855	1226	206
856	1228	204
857	1229	203
858	1231	202
859	1233	200
860	1235	199
861	1236	198
862	1238	196
863	1239	195
864	1241	193
865	1242	192
866	1244	190
867	1245	189
868	1247	188
869	1248	186
870	1250	185
871	1252	183
872	1253	182
873	1254	180
874	1256	179
875	1258	178
876	1260	176
877	1261	175
878	1262	173
879	1264	172
880	1266	171
881	1267	169
882	1269	168
883	1270	166
884	1271	165
885	1272	163
886	1274	162
887	1275	160
888	1276	159
889	1278	157
890	1279	156
891	1280	155
892	1282	153
893	1283	152
894	1284	150
895	1285	149
896	1287	147
897	1289	146
898	1290	144
899	1291	143
900	1293	142
901	1294	140
902	1295	139
903	1297	137
904	1298	136
905	1300	134
906	1301	133
907	1302	132
908	1304	130
909	1305	129
910	1306	127
911	1308	126
912	1309	124
913	1310	123
914	1311	121
915	1312	120
916	1314	118
917	1315	117
918	1317	116
919	1318	114
920	1319	113
921	1320	111
922	1322	110
923	1323	108
924	1324	107
925	1325	105
926	1327	104
927	1328	103
928	1329	101
929	1331	100
930	1332	98
931	1334	97
932	1335	95
933	1337	94
934	1338	93
935	1339	91
936	1341	90
937	1342	88
938	1344	87
939	1345	85
940	1347	84
941	1348	83
942	1350	81
943	1351	80
944	1353	78
945	1355	77
946	1356	75
947	1357	74
948	1358	73
949	1360	71
950	1361	70
951	1362	68
952	1364	67
953	1365	65
954	1366	64
955	1368	62
956	1369	61
957	1370	60
958	1372	58
959	1373	57
960	1374	55
961	1375	54
962	1377	52
963	1378	51
964	1379	50
965	1381	48
966	1382	47
967	1384	45
968	1385	44
969	1386	42
970	1388	41
971	1389	40
972	1390	38
973	1392	37
974	1393	35
975	1394	34
976	1396	32
977	1397	31
978	1399	30
979	1400	28
980	1401	27
981	1403	25
982	1404	24
983	1405	22
984	1406	21
985	1408	19
986	1409	18
987	1410	17
988	1412	15
989	1413	14
990	1414	12
991	1416	11
992	1417	9
993	1418	8
994	1420	7
995	1421	5
996	1422	4
997	1423	2
998	1424	1
999	1426	0
